fecha,dia,casos_tot,casos_diarios,casos_recuperados,casos_terapia,casos_fallecidos
2020-03-03,0,1,1,,,0
2020-03-04,1,1,0,,,0
2020-03-05,2,1,0,,,0
2020-03-06,3,2,1,,,0
2020-03-07,4,9,7,,,0
2020-03-08,5,12,3,,,0
2020-03-09,6,17,5,,,1
2020-03-10,7,19,2,,,1
2020-03-11,8,21,2,,,1
2020-03-12,9,31,10,,,1
2020-03-13,10,34,3,,,2
2020-03-14,11,45,11,,,2
2020-03-15,12,56,11,,,2
2020-03-16,13,65,9,,,2
2020-03-17,14,78,13,,,2
2020-03-18,15,97,19,18,,3
2020-03-19,16,128,31,23,,3
2020-03-20,17,158,30,31,,3
2020-03-21,18,225,67,31,,4
2020-03-22,19,266,41,51,,4
2020-03-23,20,301,35,52,,4
2020-03-24,21,387,86,63,,6
2020-03-25,22,502,115,72,22,8
2020-03-26,23,589,87,75,25,12
2020-03-27,24,690,101,80,33,17
2020-03-28,25,745,55,91,44,19
2020-03-29,26,820,75,228,53,20
2020-03-30,27,966,146,240,55,24
2020-03-31,28,1054,88,248,55,27
2020-04-01,29,1133,79,256,72,32
2020-04-02,30,1265,132,266,82,36
2020-04-03,31,1353,88,279,86,42
2020-04-04,32,1451,98,280,87,43
2020-04-05,33,1554,103,325,94,46
2020-04-06,34,1628,74,338,96,53
2020-04-07,35,1715,87,358,98,60
2020-04-08,36,1795,80,365,98,65
2020-04-09,37,1894,99,375,,79
2020-04-10,38,1975,81,440,115,82
2020-04-11,39,2142,167,468,83,89
2020-04-12,40,2208,66,515,113,95
2020-04-13,41,2277,69,559,116,98
2020-04-14,42,2443,166,596,117,105
2020-04-15,43,2571,128,631,121,112
2020-04-16,44,2669,98,666,126,122
2020-04-17,45,2758,89,685,127,129
2020-04-18,46,2839,81,709,123,132
2020-04-19,47,2941,102,737,126,134
2020-04-20,48,3031,90,840,129,142
2020-04-21,49,3144,113,872,131,151
2020-04-22,50,3288,144,919,136,159
2020-04-23,51,3435,147,976,141,165
2020-04-24,52,3607,172,1030,144,176
2020-04-25,53,3780,173,1107,139,185
2020-04-26,54,3892,112,1140,151,192
2020-04-27,55,4003,111,1162,155,197
2020-04-28,56,4127,124,1192,154,207
2020-04-29,57,4285,158,1256,157,214
2020-04-30,58,4428,143,1292,159,218
2020-05-01,59,4532,104,1320,164,225
2020-05-02,60,4681,149,1354,161,237
2020-05-03,61,4783,102,1442,146,246
2020-05-04,62,4887,104,1472,148,260
2020-05-05,63,5020,133,1524,143,264
2020-05-06,64,5208,188,1601,151,273
2020-05-07,65,5371,163,1659,155,282
2020-05-08,66,5611,240,1728,157,293
2020-05-09,67,5776,165,1757,160,300
2020-05-10,68,6034,258,1837,164,305
2020-05-11,69,6278,244,1862,170,314
2020-05-12,70,6563,285,2266,147,319
2020-05-13,71,6879,316,2385,147,329
2020-05-14,72,7134,255,2497,149,353
2020-05-15,73,7479,345,2534,151,356
2020-05-16,74,7805,326,2569,154,363
2020-05-17,75,8068,263,2625,159,373
2020-05-18,76,8371,303,2872,156,382
2020-05-19,77,8809,438,2933,161,393
2020-05-20,78,9283,474,3032,171,403
2020-05-21,79,9931,648,3062,172,416
2020-05-22,80,10649,718,3530,173,433
2020-05-23,81,11353,704,3732,181,445
2020-05-24,82,12076,723,3999,181,452
2020-05-25,83,12628,552,4167,203,467
2020-05-26,84,13228,600,4349,250,490
2020-05-27,85,13933,705,4617,254,500
2020-05-28,86,14702,769,4788,259,508
2020-05-29,87,15419,717,5100,244,520
2020-05-30,88,16214,795,5336,256,528
2020-05-31,89,16851,637,5521,272,539
2020-06-01,90,17415,564,5709,271,556
2020-06-02,91,18319,904,5896,288,569
2020-06-03,92,19268,949,5993,293,583
2020-06-04,93,20197,929,6088,248,608
2020-06-05,94,21037,840,6180,249,632
2020-06-06,95,22020,983,6909,247,648
2020-06-07,96,22794,774,7305,253,664
2020-06-08,97,23620,826,7568,265,693
2020-06-09,98,24761,1141,7991,263,717
2020-06-10,99,25987,1226,8332,325,735
2020-06-11,100,27373,1386,8743,295,765
2020-06-12,101,28764,1391,9083,280,785
2020-06-13,102,30295,1531,9564,293,815
2020-06-14,103,31577,1282,9891,,833
2020-06-15,104,32785,1208,10174,324,854
2020-06-16,105,34159,1374,10512,345,878
2020-06-17,106,35552,1393,10721,353,913
2020-06-18,107,37510,1958,11977,364,948
2020-06-19,108,39570,2060,12206,364,979
2020-06-20,109,41204,1634,12728,381,992
2020-06-21,110,42785,1581,13153,397,1011
2020-06-22,111,44931,2146,13576,414,1043
2020-06-23,112,47216,2285,13816,433,1078
2020-06-24,113,49851,2635,14788,457,1116
2020-06-25,114,52457,2606,18416,472,1150
2020-06-26,115,55343,2886,19143,507,1184
2020-06-27,116,57744,2401,20134,523,1207
2020-06-28,117,59933,2189,21138,535,1232
2020-06-29,118,62268,2335,22028,555,1280
2020-06-30,119,64530,2262,23040,576,1307
2020-07-01,120,67197,2667,24186,594,1351
2020-07-02,121,69941,2744,25224,620,1385
2020-07-03,122,72786,2845,25930,637,1437
2020-07-04,123,75376,2590,27597,658,1481
2020-07-05,124,77815,2439,28531,676,1507
2020-07-06,125,80447,2632,30095,688,1582
2020-07-07,126,83426,2979,36502,646,1643